day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
82	4736.0	2911.746595238761	6560.253404761239	0.3851886412080319	2603.5	1825.1854870893885	3381.8145129106115	0.29894930397949354	2661.125	1609.1529492486006	3713.0970507513994	0.39531102475509394
83	4468.125	2623.661774594588	6312.588225405412	0.41280475040546355	2686.5	1938.662768205574	3434.337231794426	0.27836859549392373	2846.0	1741.325068564077	3950.674931435923	0.3881500110456511
84	4210.375	2351.550202926841	6069.199797073159	0.4414867552351416	2750.375	2036.6573283441849	3464.092671655815	0.25949831265038953	3039.875	1883.7025921921527	4196.047407807848	0.3803355097850561
85	3951.875	2098.0092980772333	5805.740701922767	0.46911041010223414	2813.375	2149.6092588573392	3477.1407411426608	0.2359321957231655	3235.375	2029.3795179445015	4441.3704820554985	0.37275292108503605
86	3697.625	1863.9173605054805	5531.33263949452	0.4959149831295817	2859.875	2263.9373145137824	3455.8126854862176	0.2083789275706866	3443.125	2184.465817187377	4701.784182812623	0.36555721410422876
87	3458.75	1659.4106034541383	5258.089396545862	0.5202282317443764	2896.875	2371.507888287887	3422.242111712113	0.18135650026739608	3645.0	2343.378166521601	4946.621833478399	0.3570978967018927
88	3221.625	1464.95707815535	4978.29292184465	0.5452738670219687	2930.625	2474.686285861405	3386.563714138595	0.15557729635780596	3848.375	2512.3069873718687	5184.443012628131	0.3471771884569802
89	2991.0	1294.208963264355	4687.791036735645	0.5672989089721314	2951.0	2579.196437094134	3322.803562905866	0.1259923967827401	4058.625	2688.7687470169153	5428.481252983085	0.33751732495194425
90	2776.75	1158.1260096905537	4395.3739903094465	0.5829203170287013	2957.5	2669.8932237611384	3245.1067762388616	0.09724658537239614	4266.375	2875.3031083244878	5657.446891675512	0.32605476351129764
91	2551.5	1014.0929893801476	4088.9070106198524	0.6025502687124642	2979.75	2737.8893066382525	3221.6106933617475	0.0811681159029272	4469.375	3064.0498524847308	5874.700147515269	0.3144343778526682
