day	S_t	I_t	R_t	cilow	cih
184	1091	0	8909
185	1091	0	8909
186	1091	0	8909
187	1091	0	8909
188	1091	0	8909
189	1091	0	8909
190	1091	0	8909
191	1091	0	8909
192	1091	0	8909
193	1091	0	8909
194	1091	0	8909
195	1091	0	8909
196	1091	0	8909
197	1091	0	8909
198	1091	0	8909
199	1091	0	8909
200	1091	0	8909
201	1091	0	8909
202	1091	0	8909
203	1091	0	8909
204	1091	0	8909
205	1091	0	8909
206	1091	0	8909
207	1091	0	8909
208	1091	0	8909
209	1091	0	8909
210	1091	0	8909
211	1091	0	8909
212	1091	0	8909
213	1091	0	8909
214	1091	0	8909
215	1091	0	8909
216	1091	0	8909
217	1091	0	8909
218	1091	0	8909
219	1091	0	8909
220	1091	0	8909
221	1091	0	8909
222	1091	0	8909
223	1091	0	8909
224	1091	0	8909
225	1091	0	8909
226	1091	0	8909
227	1091	0	8909
228	1091	0	8909
229	1091	0	8909
230	1091	0	8909
231	1091	0	8909
232	1091	0	8909
233	1091	0	8909
234	1091	0	8909
235	1091	0	8909
236	1091	0	8909
237	1091	0	8909
238	1091	0	8909
239	1091	0	8909
240	1091	0	8909
241	1091	0	8909
242	1091	0	8909
243	1091	0	8909
244	1091	0	8909
245	1091	0	8909
246	1091	0	8909
247	1091	0	8909
248	1091	0	8909
249	1091	0	8909
250	1091	0	8909
251	1091	0	8909
252	1091	0	8909
253	1091	0	8909
254	1091	0	8909
255	1091	0	8909
256	1091	0	8909
257	1091	0	8909
258	1091	0	8909
259	1091	0	8909
260	1091	0	8909
261	1091	0	8909
262	1091	0	8909
263	1091	0	8909
264	1091	0	8909
265	1091	0	8909
266	1091	0	8909
267	1091	0	8909
268	1091	0	8909
269	1091	0	8909
270	1091	0	8909
271	1091	0	8909
272	1091	0	8909
273	1091	0	8909
274	1091	0	8909
275	1091	0	8909
276	1091	0	8909
277	1091	0	8909
278	1091	0	8909
279	1091	0	8909
280	1091	0	8909
281	1091	0	8909
282	1091	0	8909
283	1091	0	8909
284	1091	0	8909
285	1091	0	8909
286	1091	0	8909
287	1091	0	8909
288	1091	0	8909
289	1091	0	8909
290	1091	0	8909
291	1091	0	8909
292	1091	0	8909
293	1091	0	8909
294	1091	0	8909
295	1091	0	8909
296	1091	0	8909
297	1091	0	8909
298	1091	0	8909
299	1091	0	8909
300	1091	0	8909
301	1091	0	8909
302	1091	0	8909
303	1091	0	8909
304	1091	0	8909
305	1091	0	8909
306	1091	0	8909
307	1091	0	8909
308	1091	0	8909
309	1091	0	8909
310	1091	0	8909
311	1091	0	8909
312	1091	0	8909
313	1091	0	8909
314	1091	0	8909
315	1091	0	8909
316	1091	0	8909
317	1091	0	8909
318	1091	0	8909
319	1091	0	8909
320	1091	0	8909
321	1091	0	8909
322	1091	0	8909
323	1091	0	8909
324	1091	0	8909
325	1091	0	8909
326	1091	0	8909
327	1091	0	8909
328	1091	0	8909
329	1091	0	8909
330	1091	0	8909
331	1091	0	8909
332	1091	0	8909
333	1091	0	8909
334	1091	0	8909
335	1091	0	8909
336	1091	0	8909
337	1091	0	8909
338	1091	0	8909
339	1091	0	8909
340	1091	0	8909
341	1091	0	8909
342	1091	0	8909
343	1091	0	8909
344	1091	0	8909
345	1091	0	8909
346	1091	0	8909
347	1091	0	8909
348	1091	0	8909
349	1091	0	8909
350	1091	0	8909
351	1091	0	8909
352	1091	0	8909
353	1091	0	8909
354	1091	0	8909
355	1091	0	8909
356	1091	0	8909
357	1091	0	8909
358	1091	0	8909
359	1091	0	8909
360	1091	0	8909
361	1091	0	8909
362	1091	0	8909
363	1091	0	8909
364	1091	0	8909
365	1091	0	8909
