day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)	mean(RT)	ciLow(RT)	ciHigh(RT)	relerr(RT)
46	9917.0	9870.706133424712	9963.293866575288	0.004668132154410461	44.25	16.144097069826458	72.35590293017354	0.635161648139515	38.75	19.855451569400913	57.64454843059909	0.48760124982191194	1.452954013241801	1.0850538556638152	1.820854170819787	0.2532083976678206
47	9911.25	9861.976917997868	9960.523082002132	0.004971429638252716	47.125	18.263028459094272	75.98697154090573	0.6124556295152409	41.625	20.287447900296264	62.962552099703736	0.5126138642571468	1.4520693003657783	0.9635517187801177	1.940586881951439	0.3364285585148053
48	9905.375	9852.419374145315	9958.330625854685	0.005346150534905007	49.25	18.52369230634461	79.97630769365539	0.623884420175744	45.375	22.258551792064548	68.49144820793545	0.5094534040316353	1.4280140646615949	0.922226377801451	1.9338017515217387	0.35418956954041164
49	9900.25	9844.91405732566	9955.58594267434	0.005589348013872253	51.0	19.616985492243014	82.38301450775698	0.6153532256422939	48.75	23.75011864046971	73.74988135953029	0.5128180791698521	1.5068678279451595	0.9853754890682338	2.028360166822085	0.3460770275970778
50	9893.875	9835.491150232185	9952.258849767815	0.005901009439457684	54.25	21.019576794290828	87.48042320570917	0.6125423632388788	51.875	24.94586455938355	78.80413544061645	0.5191158639154978	1.4763350504027946	0.9562884605483871	1.9963816402572019	0.3522551264447193
51	9886.125	9821.230883359647	9951.019116640353	0.006564161047968946	59.125	20.990197049075626	97.25980295092438	0.6449860964215539	54.75	26.217477819015873	83.28252218098413	0.5211419576435458	1.4816117052832138	1.000030090216238	1.9631933203501897	0.32503901889390124
52	9879.125	9809.73967039855	9948.51032960145	0.007023428654000243	62.375	21.702437946798845	103.04756205320115	0.6520651230974133	58.5	28.17520030558086	88.82479969441914	0.5183726443490452	1.5334712975876574	1.0507274047216664	2.0162151904536483	0.3148046485287385
53	9870.25	9795.275654953437	9945.224345046563	0.007595992507440277	66.75	23.25911583253172	110.24088416746828	0.6515488264789255	63.0	30.14655072416356	95.85344927583644	0.5214833218386736	1.4589093575716947	0.9424979747663745	1.9753207403770148	0.35397084824027003
54	9859.75	9778.580591397093	9940.919408602907	0.008232400274135413	72.75	25.226367794467414	120.27363220553258	0.6532458035124754	67.5	32.06725050822844	102.93274949177156	0.5249296221003193	1.4395801383924187	0.9236511034946241	1.9555091732902135	0.35838854756216165
55	9852.5	9766.578475274997	9938.421524725003	0.008720784037046734	74.375	25.684534744067037	123.06546525593296	0.6546617177268298	73.125	34.33600379305977	111.91399620694023	0.5304478113769604	1.588142623765795	1.1553573235744596	2.0209279239571303	0.2725103487022578
56	9841.25	9746.807912626351	9935.692087373649	0.009596554032632907	79.75	24.88520286656133	134.61479713343869	0.6879598386638078	79.0	38.270861046417174	119.72913895358283	0.5155587209314282	1.6164657112020815	1.2954675708508203	1.9374638515533427	0.19858023472242503
57	9828.375	9725.235691049455	9931.514308950545	0.010494034766738776	87.75	27.95968140920767	147.54031859079234	0.6813711520318214	83.875	39.48723192485528	128.26276807514472	0.5292133302550787	1.589699630278517	1.2885040303117914	1.8908952302452424	0.18946698749244587
58	9817.375	9706.150604343045	9928.599395656955	0.011329341667905533	93.625	28.8101706445064	158.4398293554936	0.6922812214204924	89.0	41.40865868920302	136.59134131079696	0.5347341720314267	1.6046614421034149	1.3202031129255152	1.8891197712813146	0.1772699970936096
59	9804.75	9683.888890101447	9925.611109898553	0.012326791595762498	100.0	30.143460508348127	169.85653949165186	0.6985653949165187	95.25	43.088821540006755	147.41117845999324	0.5476239208398241	1.7338001075635785	1.4053968591111783	2.0622033560159787	0.18941240516698815
60	9791.375	9661.13275482059	9921.61724517941	0.013301731899698403	108.25	32.34520637620642	184.15479362379358	0.7011990173098714	100.375	44.950375255003756	155.79962474499624	0.5521755889912453	1.6585577054051868	1.4095323688265873	1.9075830419837863	0.15014571743089422
61	9777.25	9637.424943010139	9917.075056989861	0.0143010618517335	116.25	34.4788380609656	198.0211619390344	0.703407844636855	106.5	47.64338068924859	165.3566193107514	0.5526443127770085	1.7383915686118057	1.50318666271179	1.9735964745118213	0.13530030296214487
62	9762.25	9610.899038857715	9913.600961142285	0.015503696498479935	123.875	35.499993107306864	212.25000689269314	0.7134208427260799	113.875	50.14216043395555	177.60783956604445	0.5596736734669107	1.692395495330183	1.4945827652058752	1.8902082254544907	0.11688327620236011
63	9744.625	9579.9783332987	9909.2716667013	0.016896152155808974	134.375	38.28511932570024	230.46488067429976	0.7150874840878122	121.0	51.94418028523992	190.05581971476008	0.5707092538409924	1.622914775520694	1.4291673785504262	1.816662172490962	0.11938236060985158
64	9727.0	9550.761826738557	9903.238173261443	0.018118451039523368	143.25	42.20973540516941	244.2902645948306	0.7053421612204579	129.75	53.955782862244064	205.54421713775594	0.5841558160906045	1.5792368315656926	1.4148082792982613	1.743665383833124	0.10411899531523279
