day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
26	9961.9	9952.754802406564	9971.045197593436	0.0009180174056591313	29.6	22.413125151214555	36.786874848785445	0.24279982597248126	8.5	6.4143941468725885	10.585605853127412	0.2453653944855778
27	9958.2	9947.103381871202	9969.2966181288	0.0011143196690966296	32.2	23.304738303597674	41.09526169640233	0.27625036324230834	9.6	7.258791801014195	11.941208198985805	0.24387585406102133
28	9953.9	9941.562771931638	9966.237228068361	0.0012394366096065022	35.7	25.50466515813025	45.895334841869754	0.28558360901595936	10.4	8.107879185184142	12.692120814815858	0.22039623219383253
29	9948.1	9934.58393960567	9961.61606039433	0.0013586574717110438	41.0	29.31827064293376	52.68172935706624	0.28492022822112784	10.9	8.728905212419942	13.071094787580058	0.19918300803486774
30	9941.5	9926.63827974294	9956.36172025706	0.0014949172918633706	44.9	33.16267137168312	56.63732862831688	0.26141043715627793	13.6	10.361961726709271	16.838038273290728	0.23809104950667126
31	9936.0	9919.031307957643	9952.968692042357	0.0017077991185947903	48.4	35.3081216867361	61.491878313263896	0.2704933535798326	15.6	11.578701467007008	19.62129853299299	0.25777554698673016
32	9928.9	9910.232215141565	9947.567784858435	0.001880146326222924	53.9	39.03751458203483	68.76248541796517	0.2757418444891497	17.2	13.198545852999036	21.201454147000963	0.23264268296517235
33	9920.3	9899.851272623588	9940.74872737641	0.0020613013090744264	61.8	45.02746102133166	78.57253897866833	0.2714003070981932	17.9	13.932079179338391	21.867920820661606	0.2216715542269054
34	9909.7	9886.546662120081	9932.85333787992	0.0023364317668465345	69.5	51.115188343050356	87.88481165694964	0.2645296641287719	20.8	15.789096354747903	25.810903645252097	0.24090882909865854
35	9900.1	9875.085341995367	9925.114658004633	0.0025267076094819896	76.0	56.998478296675714	95.00152170332429	0.2500200224121617	23.9	17.788453079519673	30.011546920480324	0.2557132602711434
36	9889.9	9861.004047406737	9918.795952593262	0.0029217638796410956	83.3	61.17900215366913	105.42099784633086	0.2655581974349444	26.8	19.9484889647991	33.6515110352009	0.2556533968358545
37	9877.1	9845.560322256313	9908.639677743688	0.0031932123542018883	94.0	69.28133922609317	118.71866077390683	0.26296447631815784	28.9	21.77470366671528	36.025296333284714	0.24655004613441933
38	9861.0	9824.8400626467	9897.1599373533	0.0036669645424703464	106.0	78.56451084349311	133.4354891565069	0.2588253694010084	33.0	24.16116786889676	41.83883213110324	0.26784339791221934
39	9846.1	9805.712838676449	9886.487161323552	0.004101843503879832	115.8	84.40967670168877	147.19032329831123	0.2710736036123595	38.1	28.9548024065643	47.245197593435705	0.2400314328985748
40	9831.5	9787.928754591056	9875.071245408944	0.0044318003772510495	126.7	94.12519868132763	159.27480131867236	0.2571018257195925	41.8	30.70338187120194	52.89661812879805	0.2654693332248339
41	9812.0	9763.504405846506	9860.495594153494	0.0049424780017828665	141.9	105.46366117379429	178.33633882620572	0.2567747626934863	46.1	33.76277193163784	58.43722806836216	0.2676188301163159
42	9787.8	9733.32651232956	9842.273487670438	0.005565447564359572	160.3	119.28890753147672	201.3110924685233	0.25583962862459947	51.9	38.383939605671365	65.41606039432864	0.2604250557674111
43	9763.4	9702.57157023459	9824.22842976541	0.006230250708299268	178.1	131.85568163931757	224.34431836068242	0.2596536685046739	58.5	43.6382797429403	73.3617202570597	0.25404650012067864
44	9742.9	9678.338450265483	9807.461549734517	0.006626522876609351	193.1	145.35300030951782	240.84699969048216	0.24726566385542292	64.0	47.03130795764216	80.96869204235784	0.2651358131618412
45	9716.2	9643.065625507234	9789.334374492768	0.007527055278068319	212.7	158.0771924392058	267.32280756079416	0.2568068056454828	71.1	52.43221514156521	89.76778485843478	0.26255674906378046
46	9680.9	9599.904488503062	9761.895511496938	0.00836652702712947	239.4	178.75599597158342	300.0440040284166	0.25331664172270923	79.7	59.251272623588974	100.14872737641103	0.25657123433388995
47	9640.9	9549.580270868166	9732.219729131833	0.009472116621045124	268.8	200.51032469272127	337.08967530727875	0.2540538515895786	90.3	67.14666212008089	113.4533378799191	0.256404627684597
48	9603.4	9502.987398710016	9703.812601289983	0.010455942821290653	296.7	221.18094752181332	372.21905247818665	0.2545300049820919	99.9	74.88534199536736	124.91465800463266	0.2503969770233498
49	9566.3	9453.839437750492	9678.760562249507	0.011755910043538967	323.6	239.91771343705545	407.2822865629446	0.2585979189213367	110.1	81.20404740673753	138.99595259326247	0.2624518854973884
